127.0.0.1 - - [10/Jun/2019:14:27:50 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:27:53 +0530] "GET /olx_resale/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:27:54 +0530] "GET /olx_resale/index HTTP/1.1" 200 10961
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:27:54 +0530] "GET /olx_resale/images/swing.jpg HTTP/1.1" 200 23763
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:27:54 +0530] "GET /olx_resale/images/laptops.jpg HTTP/1.1" 200 71722
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:27:55 +0530] "GET /olx_resale/images/bike1.jpg HTTP/1.1" 200 76659
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:27:55 +0530] "GET /olx_resale/images/car1.jpg HTTP/1.1" 200 627660
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:28:13 +0530] "GET /olx_resale/index HTTP/1.1" 200 10961
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:28:13 +0530] "GET /olx_resale/images/bike1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:28:13 +0530] "GET /olx_resale/images/laptops.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:28:13 +0530] "GET /olx_resale/images/car1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:28:13 +0530] "GET /olx_resale/images/swing.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:28:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [10/Jun/2019:14:28:29 +0530] "GET /olx_resale/login?email=srinithiilangovan1%40gmail.com&psw=lkklklk HTTP/1.1" 200 9602
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:03:15 +0530] "GET /olx_resale/login?email=srinithiilangovan1%40gmail.com&psw=df HTTP/1.1" 200 9602
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:24 +0530] "GET /olx_resale/sell? HTTP/1.1" 200 8714
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:26 +0530] "GET /olx_resale/list? HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:28 +0530] "GET /olx_resale/cart? HTTP/1.1" 200 5934
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:29 +0530] "GET /olx_resale/sell? HTTP/1.1" 200 8714
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:31 +0530] "GET /olx_resale/list? HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:32 +0530] "GET /olx_resale/sell? HTTP/1.1" 200 8714
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:33 +0530] "GET /olx_resale/list? HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:38 +0530] "GET /olx_resale/list? HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:39 +0530] "GET /olx_resale/sell? HTTP/1.1" 200 8714
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:40 +0530] "GET /olx_resale/list? HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:40 +0530] "GET /olx_resale/cart? HTTP/1.1" 200 5934
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:41 +0530] "GET /olx_resale/sell? HTTP/1.1" 200 8714
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:46:44 +0530] "GET /olx_resale/sell? HTTP/1.1" 200 8714
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:47:00 +0530] "GET /olx_resale/fetch HTTP/1.1" 200 8759
0:0:0:0:0:0:0:1 - - [10/Jun/2019:15:47:00 +0530] "GET /olx_resale/images/contactimage.png HTTP/1.1" 304 -
